Empresa:,LC COMERCIO DE AUTO PECAS LTDA,,,,,,,,,Folha:,,0001
C.N.P.J.:,50.267.135/0001-96,,,,,,,,,Número livro:,,0001
Período:,01/01/2025 - 31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
BALANCETE,,,,,,,,,,,,
,,,,,,,,,,,,
Código,Classificação,,Descrição da conta,,,Saldo Anterior,Débito,,Crédito,,Saldo Atual,
522,2.3.30.100.000,,            LUCRO DO EXERCÍCIO EM CURSO,,,"0,00","1.125.370,99",,"1.125.370,99",,"0,00",
10164,2.3.30.100.020,,            AJUSTE DE EXERCICIO ANTERIORES ,,,"13.628,04c","0,00",,"244.065,68",,"257.693,72c",
402,3,,CONTAS DE RESULTADO - RECEITAS,,,"0,00","10.303.858,74",,"10.303.858,74",,"0,00",
403,3.1,,   RECEITAS OPERACIONAIS,,,"0,00","10.303.858,74",,"10.303.858,74",,"0,00",
404,3.1.1,,      RECEITA BRUTA DE VENDAS E SERVIÇOS,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
405,3.1.10.1,,         RECEITA BRUTAS DE VENDAS E MERCADORIAS,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
408,3.1.10.100.000,,            VENDA DE MERCADORIAS,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
413,3.1.2,,      (-) DEDUÇÕES DA RECEITA BRUTA,,,"0,00","1.199.043,31",,"1.199.043,31",,"0,00",
414,3.1.20.1,,         (-) CANCELAMENTO E DEVOLUÇÕES,,,"0,00","166.941,92",,"166.941,92",,"0,00",
417,3.1.20.100.000,,            (-) DEVOLUÇÃO DE VENDA DE MERCADORIAS,,,"0,00","166.941,92",,"166.941,92",,"0,00",
424,3.1.20.3,,         (-) IMPOSTOS SOBRE VENDAS E SERVIÇOS,,,"0,00","1.032.101,39",,"1.032.101,39",,"0,00",
426,3.1.20.300.000,,            (-) ICMS,,,"0,00","292.640,74",,"292.640,74",,"0,00",
428,3.1.20.300.000,,            (-) COFINS,,,"0,00","31.313,97",,"31.313,97",,"0,00",
429,3.1.20.300.000,,            (-) PIS,,,"0,00","6.598,43",,"6.598,43",,"0,00",
477,3.1.20.300.000,,            (-) CONTRIBUIÇÃO SOCIAL,,,"0,00","44.309,83",,"44.309,83",,"0,00",
478,3.1.20.300.000,,            (-) IMPOSTO DE RENDA,,,"0,00","72.055,26",,"72.055,26",,"0,00",
480,3.1.20.300.000,,            (-) SIMPLES NACIONAL,,,"0,00","585.183,16",,"585.183,16",,"0,00",
269,4,,CONTAS DE RESULTADOS - CUSTOS E DESPESAS,,,"0,00","10.537.913,37",,"10.537.913,37",,"0,00",
500,4.1,,   CUSTOS,,,"0,00","4.391.283,74",,"4.391.283,74",,"0,00",
514,4.1.4,,      CUSTOS DE MERCADORIAS,,,"0,00","9.283,74",,"9.283,74",,"0,00",
515,4.1.40.1,,         CUSTOS DE MERCADORIAS ADQUIRIDAS,,,"0,00","9.283,74",,"9.283,74",,"0,00",
534,4.1.40.100.000,,            ICMS DIFERENCIAL DE ALÍQUOTA,,,"0,00","9.283,74",,"9.283,74",,"0,00",
468,4.1.7,,      CUSTOS DAS MERCADORIAS VENDIDAS,,,"0,00","4.382.000,00",,"4.382.000,00",,"0,00",
469,4.1.70.1,,         CUSTOS DAS MERCADORIAS VENDIDAS,,,"0,00","4.382.000,00",,"4.382.000,00",,"0,00",
470,4.1.70.100.000,,            CUSTOS DAS MERCADORIAS VENDIDAS,,,"0,00","4.382.000,00",,"4.382.000,00",,"0,00",
295,4.2,,   DESPESAS OPERACIONAIS,,,"0,00","6.146.629,63",,"6.146.629,63",,"0,00",
296,4.2.1,,      DESPESAS COM VENDAS,,,"0,00","6.134.492,92",,"6.134.492,92",,"0,00",
307,4.2.10.2,,         COMISSÕES SOBRE VENDAS,,,"0,00","6.088.124,25",,"6.088.124,25",,"0,00",
10055,4.2.10.200.000,,            COMISSÕES MERCADO LIVRE,,,"0,00","6.088.124,25",,"6.088.124,25",,"0,00",
311,4.2.10.4,,         DESPESAS COM ENTREGA,,,"0,00","9.500,50",,"9.500,50",,"0,00",
312,4.2.10.400.000,,            OUTRAS PLATAFORMAS DE ENTREGA,,,"0,00","9.500,50",,"9.500,50",,"0,00",
319,4.2.10.6,,         DESPESAS GERAIS,,,"0,00","36.868,17",,"36.868,17",,"0,00",
320,4.2.10.600.000,,            ALUGUÉIS,,,"0,00","29.997,90",,"29.997,90",,"0,00",
325,4.2.10.600.000,,            SERVIÇOS PRESTADOS POR TERCEIROS,,,"0,00","6.870,27",,"6.870,27",,"0,00",
329,4.2.2,,      DESPESAS ADMINISTRATIVAS,,,"0,00","12.136,71",,"12.136,71",,"0,00",
345,4.2.20.3,,"         IMPOSTOS, TAXAS E CONTRIBUIÇÕES",,,"0,00","1.703,80",,"1.703,80",,"0,00",
350,4.2.20.300.000,,            TAXAS DIVERSAS,,,"0,00","1.703,80",,"1.703,80",,"0,00",
353,4.2.20.4,,         DESPESAS GERAIS,,,"0,00","9.729,09",,"9.729,09",,"0,00",
10036,4.2.20.400.000,,            DIVERSOS,,,"0,00","2.114,26",,"2.114,26",,"0,00",
10044,4.2.20.400.000,,            LICENÇA DE USO DE SOFTWARE,,,"0,00","109,00",,"109,00",,"0,00",
354,4.2.20.400.000,,            ENERGIA ELÉTRICA,,,"0,00","1.378,89",,"1.378,89",,"0,00",
355,4.2.20.400.000,,            ÁGUA E ESGOTO,,,"0,00","2.036,15",,"2.036,15",,"0,00",
356,4.2.20.400.000,,            TELEFONE,,,"0,00","1.285,23",,"1.285,23",,"0,00",
361,4.2.20.400.000,,            ASSISTÊNCIA CONTÁBIL,,,"0,00","2.805,56",,"2.805,56",,"0,00",
367,4.2.20.5,,         DESPESAS FINANCEIRAS,,,"0,00","703,82",,"703,82",,"0,00",
368,4.2.20.500.000,,            JUROS PASSIVOS,,,"0,00","115,59",,"115,59",,"0,00",
525,4.2.20.500.000,,            MULTAS PASSIVAS,,,"0,00","556,73",,"556,73",,"0,00",
535,4.2.20.500.001,,            TARIFA BANCÁRIA,,,"0,00","31,50",,"31,50",,"0,00",
460,5,,CONTAS DE APURAÇÃO,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
461,5.1,,   CUSTOS DOS PRODUTOS E SERVIÇOS VENDIDOS,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
471,5.1.1,,      APURAÇÃO DO RESULTADO DO EXERCÍCIO,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
472,5.1.10.1,,         APURAÇÃO DO RESULTADO DO EXERCÍCIO,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
473,5.1.10.100.000,,            RESULTADO DO EXERCÍCIO,,,"0,00","9.104.815,43",,"9.104.815,43",,"0,00",
,,,,,,,,,,,,
"
_______________________________________
LEANDRO CEZARIO MARTINS

CPF: 496.919.918-37",,,,,,"MARCELO DAMASO POLATO
SP298975O9
CPF: 333.574.868-90",,,,,,
,,,,,,,,,,,,
Sistema licenciado para PENSE CONTABIL LTDA.,,,,,,,,,,,,
